image_id,image_category
Images/trousers/eb97b148fc85b3598457de74224a5b9b.jpg,trousers
Images/trousers/b3939460158d0ec62b58390b6ebbe72a.jpg,trousers
Images/trousers/25a0cdf60825de4c87c6d2570dae275b.jpg,trousers
Images/trousers/339ea35fe0a5fc6014a7ad71e38784a6.jpg,trousers
Images/trousers/bb57dd2b805a8b09a3024ea5862dc6ba.jpg,trousers
Images/trousers/048b29d835d4232eb3767e7ab6b09614.jpg,trousers
Images/trousers/e08b8246c63e14fdbd195dd59eeb77d1.jpg,trousers
Images/trousers/aeaf1d1129b2296b7865e0226cf7e901.jpg,trousers
Images/trousers/82251c357735a8883b7a702f2682a7e1.jpg,trousers
Images/trousers/cb613b589fe5f818c37d2e6b864535d9.jpg,trousers
Images/trousers/98fd1b4b5a52c57633db9775469cbaf3.jpg,trousers
Images/trousers/3b119767a41d280bc622505ed0e8da37.jpg,trousers
Images/trousers/854010a4a9005b5cbf39781c7a9f9ad9.jpg,trousers
Images/trousers/e2ca5cd9efc53501cdc502b5012332fd.jpg,trousers
Images/trousers/9ab0e60cf14ce5f479272a1df6e95375.jpg,trousers
Images/trousers/0ecb7a2a348eea831f6d61aa00ad534d.jpg,trousers
Images/trousers/c089d3372ba9d70f9273fe4775b6971f.jpg,trousers
Images/trousers/e174f5ea7965993195d42db4bcb5337d.jpg,trousers
Images/trousers/f63629a0ff672da74dff18d452b6dedf.jpg,trousers
Images/trousers/d98ace18c4def62389c47c41f7a27175.jpg,trousers
Images/trousers/6858a3973be64a8919ff8ec5efc332a0.jpg,trousers
Images/trousers/ef1ef13045b72255d6775a48c0821552.jpg,trousers
Images/trousers/c7dde520443ee0f25c1877c94ac69b1e.jpg,trousers
Images/trousers/47ddf4ae8f5350a0e634f7a06742d67d.jpg,trousers
Images/trousers/64c9db9beadd3f03127227a9e0757356.jpg,trousers
Images/trousers/6b9a9c2844c1af891a03588c0b57fe95.jpg,trousers
Images/trousers/b5f32d2e63ae715dab847c73e4f4243b.jpg,trousers
Images/trousers/1d245681202849cc7f5bc5d7f43a4770.jpg,trousers
Images/trousers/930d68f0cbe50df157c9969c20a9b7b2.jpg,trousers
Images/trousers/39d0ae8ae0096856b1c43c6030267e1e.jpg,trousers
Images/trousers/cc41464f18e097bf390809bf5fd1c405.jpg,trousers
Images/trousers/91ae893db9c0b0bc8368c1eb8a87365b.jpg,trousers
Images/trousers/5e07856a43ca0c534d99aac34b04327e.jpg,trousers
Images/trousers/7eab337b7792d2831a4abc417701b579.jpg,trousers
Images/trousers/23a4907d8bcd449944aae38bfaa34f3e.jpg,trousers
Images/trousers/1bf403444a7d93deb4face7cbca1cd3d.jpg,trousers
Images/trousers/eacc3e9f3fb264050f3c8c6299eddb3b.jpg,trousers
Images/trousers/8a8564456591bdfd33107bc5cd621b4d.jpg,trousers
Images/trousers/f24e04c26a640788cbe456820af26dbe.jpg,trousers
Images/trousers/3b7e067f89cd0eb91c32e0ddb89408e1.jpg,trousers
Images/trousers/6a30c705674171e3fac7e83ee47e64cf.jpg,trousers
Images/trousers/63ee3adc78deba62195e5b8fd29a3954.jpg,trousers
Images/trousers/b5dc72cf70b1bf097f7d9fcb2154b6af.jpg,trousers
